VCD info: dumpfile waveform.vcd opened for output.
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=0, prime=00000101, a=00000011 | a_inverse=xxxxxxxx 
 clk=1, prime=00000101, a=00000011 | a_inverse=00000010 
 clk=0, prime=00000101, a=00000011 | a_inverse=00000010 
 clk=1, prime=00000101, a=00000011 | a_inverse=00000010 
 clk=0, prime=00000101, a=00000011 | a_inverse=00000010 
 clk=1, prime=00000101, a=00000011 | a_inverse=00000010 
 clk=0, prime=00000101, a=00000011 | a_inverse=00000010 
 clk=1, prime=00000101, a=00000011 | a_inverse=00000010 
 clk=0, prime=00000101, a=00000011 | a_inverse=00000010 
 clk=1, prime=00000101, a=00000011 | a_inverse=00000010 
 clk=0, prime=00000101, a=00000011 | a_inverse=00000010 
